phi theta ratio
107.50 35.00 0.998597
107.50 37.00 0.998436
107.50 39.00 0.997778
107.50 41.00 0.997468
107.50 43.00 0.996956
107.50 45.00 0.996417
107.50 47.00 0.995903
107.50 49.00 0.994820
107.50 51.00 0.993872
107.50 53.00 0.992428
107.50 55.00 0.991606
107.50 57.00 0.989739
107.50 59.00 0.987806
107.50 61.00 0.985008
107.50 63.00 0.982189
107.50 65.00 0.977854
107.50 67.00 0.970919
107.50 69.00 0.963502
107.50 71.00 0.952976
107.50 73.00 0.941360
107.50 75.00 0.922150
107.50 77.00 0.894157
107.50 79.00 0.856755
107.50 81.00 0.796898
107.50 83.00 0.714395
107.50 85.00 0.600389
107.50 87.00 0.438638
107.50 89.00 0.216923
112.50 1.00  1.000000
112.50 3.00  1.000000
112.50 5.00  1.000000
112.50 7.00  1.000000
112.50 9.00  1.000000
112.50 11.00 1.000000
112.50 13.00 0.999984
112.50 15.00 0.999944
112.50 17.00 0.999887
112.50 19.00 0.999878
112.50 21.00 0.999802
112.50 23.00 0.999740
112.50 25.00 0.999642
112.50 27.00 0.999549
112.50 29.00 0.999338
112.50 31.00 0.999001
112.50 33.00 0.998979
112.50 35.00 0.998700
112.50 37.00 0.998512
112.50 39.00 0.997946
112.50 41.00 0.997620
112.50 43.00 0.996850
112.50 45.00 0.996439
112.50 47.00 0.995858
112.50 49.00 0.995099
112.50 51.00 0.993894
112.50 53.00 0.992805
112.50 55.00 0.991300
112.50 57.00 0.989976
112.50 59.00 0.987877
112.50 61.00 0.985408
112.50 63.00 0.981499
112.50 65.00 0.977354
112.50 67.00 0.972351
112.50 69.00 0.965558
112.50 71.00 0.953892
112.50 73.00 0.939460
112.50 75.00 0.920611
112.50 77.00 0.892936
112.50 79.00 0.855396
112.50 81.00 0.800752
112.50 83.00 0.713383
112.50 85.00 0.602312
112.50 87.00 0.439427
112.50 89.00 0.218118
117.50 1.00  1.000000
117.50 3.00  1.000000
117.50 5.00  1.000000
117.50 7.00  1.000000
117.50 9.00  1.000000
117.50 11.00 1.000000
117.50 13.00 0.999976
117.50 15.00 0.999968
117.50 17.00 0.999968
117.50 19.00 0.999918
117.50 21.00 0.999793
